Winery,Year,Wine ID,Wine,Rating,num_review,price,Country,Region
Château Chasse-Spleen,1996,3356015,Château Gressier Grand Poujeaux Moulis-en-Médoc 1996,3.7,62,25.3411101919432,France,Moulis-en-Médoc
Château Clarke,1982,1148646,Listrac-Médoc 1982,3.9,118,76.0233305758296,France,Listrac-Médoc
Pian dell'Orino,2007,98437,Brunello di Montalcino 2007,4.2,236,126.705550959716,Italy,Brunello di Montalcino
Fattoria le Pupille,1995,82690,Saffredi 1995,4.3,67,152.0466611516592,Italy,Maremma Toscana
Castellare,2015,1461240,Coniale Toscana 2015,4.0,74,61.782045509283016,Italy,Toscana
Maculan,2011,1296796,Cabernet Sauvignon Palazzotto 2011,3.8,234,21.990219588049886,Italy,Breganze
Tinel-Blondelet,2018,1170990,L'Arret Buffatte Pouilly-Fumé 2018,3.9,327,18.744044315528235,France,Pouilly-Fumé
Franschhoek Cellar,2020,77944,Sauvignon Blanc (Statue de Femme) 2020,3.6,156,6.282919882299968,South Africa,Franschhoek
Jorge Rosa Santos,2016,5175681,Explicit White 2016,3.7,34,14.450715729289925,Portugal,Alentejano
Château Clarke,1998,1148646,Listrac-Médoc 1998,4.1,126,34.849262280490485,France,Listrac-Médoc
Domenico Clerico,2014,92707,Barolo Pajana 2014,4.1,74,73.30073196016629,Italy,Barolo
Bodegas Ponce,2012,1299497,La Casilla Bobal 2012,3.7,63,11.402336082692534,Spain,Manchuela
Château Ruat Petit Poujeaux,2010,1241692,Moulis-en-Médoc 2010,3.5,81,19.7911976292449,France,Moulis-en-Médoc
Ansitz Waldgries,2016,3830466,Isos 2016,4.1,35,20.419489617474895,Italy,Trentino
Bove,2017,1266453,Feudi d'Albe Montepulciano d'Abruzzo 2017,3.5,52,5.13105123721164,Italy,Montepulciano d'Abruzzo
Famille Lannoye,2016,1164622,Château Lanbersac Puisseguin-Saint-Émilion 2016,3.7,76,13.612993078316597,France,Puisseguin-Saint-Émilion
Brezza,2013,90142,Langhe Chardonnay 2013,3.4,36,10.366817805794946,Italy,Langhe
Wagner-Stempel,2020,3640503,Gutswein Grauburgunder (Trocken) 2020,3.8,158,11.204540456768276,Germany,Rheinhessen
Bressy-Masson,2016,1812388,Rasteau 2016,3.7,46,14.555431060661592,France,Rasteau
Yves Cuilleron,2007,1699056,Saint-Joseph Les Serines 2007,3.8,57,21.990219588049886,France,Saint-Joseph
Leda,2005,1164218,Viñas Viejas Tempranillo 2005,4.1,59,38.6399572761448,Spain,Castilla y León
Domaine Borgeot,2018,1870660,Bourgogne Pinot Noir 2018,3.6,64,15.602584374378253,France,Bourgogne
Conceito,2016,2309624,Contraste Branco 2016,3.6,182,9.308029455259211,Portugal,Douro
Andrian,2018,1238393,Somereto Chardonnay 2018,3.5,132,10.10502947736578,Italy,Südtirol - Alto Adige
Domaine Borgeot,2016,1796373,Vieilles Vignes Santenay 2016,3.9,92,20.733635611589893,France,Santenay
Martin Waßmer,2019,1286523,Weisser Burgunder 2019,3.5,63,9.24985427116384,Germany,Baden
Sella & Mosca,2016,1161269,Abidoru Vermentino di Sardegna 2016,3.3,32,6.178204550928301,Italy,Vermentino di Sardegna
Farm Hand,2018,5863499,Organic Shiraz 2018,3.6,121,9.24985427116384,Australia,South Australia
Schneider,2017,1177217,Ursprung 2017,3.7,617,21.152496937076556,Germany,Pfalz
Richland,2013,1543940,Shiraz 2013,3.0,30,9.075328718877731,Australia,Riverina
Welmoed,2014,40104,Pinotage 2014,3.2,132,8.20270095744718,South Africa,Stellenbosch
Farm Hand,2018,5871426,Organic Chardonnay 2018,3.7,84,9.24985427116384,Australia,South Australia
Isole e Olena,2011,1970697,Syrah Toscana Collezione Privata 2011,4.3,168,40.83897923494979,Italy,Toscana
Gut Hermannsberg,2019,1610932,Weißer Burgunder 2019,3.9,73,9.843241148936615,Germany,Nahe
San Fabiano Calcinaia,2013,1595280,Cerviolo Toscana 2013,4.0,99,37.59280396242814,Italy,Toscana
Domaine Cordier Père & Fils,2017,1448942,Saint-Véran 'En Faux' 2017,3.9,79,20.594015169761004,France,Saint-Véran
Domaine du Clos des Fées,2003,1169352,Vieilles Vignes Côtes du Roussillon Villages 2003,4.1,27,37.59280396242814,France,Côtes du Roussillon Villages
Argiolas,2019,1180743,S'Elegas Nuragus di Cagliari 2019,3.7,218,7.853649852874959,Italy,Nuragus di Cagliari
Domaine Olivier Hillaire,2016,6080661,Les Terrasses Châteauneuf-du-Pape 2016,4.4,38,52.008614581260844,France,Châteauneuf-du-Pape
Château Moyau,2011,1903355,Terre de Pierres 2011,4.3,40,15.602584374378253,France,La Clape
Yves Cuilleron,2011,1699056,Saint-Joseph Les Serines 2011,3.9,109,21.990219588049886,France,Saint-Joseph
La Tosa,2014,2001378,Vignamorello Gutturnio Superiore 2014,3.6,162,16.579927467180468,Italy,Gutturnio
Château Lilian Ladouys,1997,1102121,Saint-Estèphe 1997,4.0,61,31.676387739929,France,Saint-Estèphe
Château Lilian Ladouys,2005,1102121,Saint-Estèphe 2005,3.9,246,44.346942835900606,France,Saint-Estèphe
Spadafora,2012,94057,Schietto Cabernet Sauvignon 2012,4.1,153,22.304365582164884,Italy,Terre Siciliane
Oasi degli Angeli,2016,1802083,Kupra Marche 2016,4.4,47,207.33635611589892,Italy,Marche
Château Pichon Baron,1990,1135844,Les Tourelles de Longueville Pauillac 1990,4.4,87,63.352775479858,France,Pauillac
Château Labégorce,2004,69314,Zédé de Labégorce (Domaine Zédé) 2004,4.0,25,38.0116652879148,France,Margaux
Franz Haas,2016,3147014,Lepus 2016,3.8,153,18.325182990041572,Italy,Südtirol - Alto Adige
